Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,Fund_Year,Category
Myseodoc,2017,Delhi,other,"seo, ppc, search engine marketing, social media optimization, content marketing, brand reputation management",Unknown,Undisclosed,0.0,Seed,2018,Other
Enlyft Digital Solutions Private Limited,2017,Pune,other,digital marketing agency,Unknown,Undisclosed,200000.0,Seed,2018,Other
Scale Labs,2017,Delhi,other,scale labs is a cross border e-commerce solutions provider that drives global trade for brands.,Unknown,Undisclosed,1000000.0,Seed,2018,Other
Hungerbox,2017,Bangalore,b2b food and beverage food delivery,hungerbox is a full stack b2b f&b technology company delivering food solutions for the corporates in india.,Unknown,Undisclosed,4500000.0,Series A,2018,food and beverages
Biryani By Kilo,2017,Noida,catering food and beverage food delivery food processing,bbk delivers both authentic taste of hyderabadi and lucknowi biryani prepared in individual earthen handis with the freshest ingredients.,Unknown,Undisclosed,1000000.0,Seed,2018,food and beverages
Wholesome Habits (Eat Anytime),2017,Mumbai,food and beverage snack food,wholesome habits (eat anytime) is a healthy snacks company.,Unknown,Undisclosed,500000.0,Seed,2018,food and beverages
Gobumpr,2017,Mylapore,automotive ecommerce mobile,car service and bike service mobile app,Unknown,Undisclosed,600000.0,Seed,2018,technology
Fixpocket,2017,Ahmedabad,computer digital marketing facilities support services graphic design internet mobile apps social media marketing web development,fixpocket is a internet-based startup.,Unknown,Undisclosed,250000.0,Seed,2018,technology
Edureka!,2017,Bangalore,android big data blockchain cloud computing edtech education information technology ios training web development,"edureka is the fastest growing online learning platform that offers live, instructor-led courses for professionals from various industries.",Unknown,Undisclosed,2000000.0,Series A,2018,technology
Hashtag Loyalty Private Limited,2017,Mumbai,analytics crm loyalty programs machine learning marketing automation retail technology saas small and medium businesses,hashtag loyalty is a customer engagement and marketing automation tool for local businesses.,Unknown,Undisclosed,0.0,Seed,2018,technology
Wow Express,2017,Mumbai,delivery information technology mobile apps,"wow, as customers react to his studiously taught, trained, polite and courteous nature.",Unknown,Undisclosed,4500000.0,Series A,2018,technology
Zunroof,2017,Gurgaon,environmental consulting renewable energy,zunroof is a rooftop focused solar startup.,Unknown,Undisclosed,16600000.0,Pre-Seed,2018,renewable energy
Eggoz,2017,Indore,food and beverage food processing,eggoz is a full-stack layer poultry business operator & service provider .,Unknown,Undisclosed,12000000.0,Pre-Seed,2018,food and beverages
Sqrrl Fintech,2017,Gurgaon,big data business intelligence financial services fintech personal finance,personal finance,Unknown,Undisclosed,1000000.0,Seed,2018,technology
Galaxycard,2017,Noida,finance financial services fintech,galaxycard is a mobile based instant credit card.,Unknown,Undisclosed,0.0,Seed,2018,technology
Indiqube,2017,Bangalore,property,indiqube is a provider of co-working spaces based in bengaluru.,Unknown,Undisclosed,15000000.0,Series A,2018,real estate
Egk Foods,2017,Mumbai,food and beverage food processing organic food snack food,a food processing enterprise registered with startup india .,Unknown,Undisclosed,20000000.0,Seed,2018,food and beverages
Nirogstreet,2017,Gurgaon,apps health care internet mobile apps personal health,nirogstreet is an ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,Unknown,Undisclosed,300000.0,Seed,2018,technology
Pixr8,2017,Ghaziabad,digital media incubators social entrepreneurship,pixr8 is a global media platform dedicated to start-ups and business organisations for promoting entrepreneurship work.,Unknown,Undisclosed,50000.0,Seed,2018,technology
Nivesh.Com,2017,Noida,finance financial services marketing,nivesh.com is a mass market mutual funds investment platform.,Unknown,Undisclosed,30000000.0,Seed,2018,technology
Theranosis Life Sciences,2017,Hyderabad,biotechnology health care life science medical device,a fully functioning cell culture facility and molecular biology setup.,Unknown,Undisclosed,0.0,Seed,2018,technology
Poshmiles Online Solutions Private Limited,2017,Bangalore,travel,poshmiles aims to help point travellers to long weekend trips at popular and undiscovered destinations based on budget & interest.,Unknown,Undisclosed,0.0,Seed,2018,travel
Reculta,2017,Noida,education human resources,a campus recruitment solution provider.,Unknown,Undisclosed,0.0,Seed,2018,human resources
Orbo.Ai,2017,Mumbai,internet,orbo is a computer vision and deep facial technology company.,Unknown,Undisclosed,0.0,Seed,2018,technology
Inntot Technologies,2017,Kochi,consumer electronics,"inntot technologies, is a technology driven company.",Unknown,Undisclosed,0.0,Seed,2018,consumer goods and services
Zoctr Health,2017,Powai,apps health care hospital mobile apps,zoctr health network is a first-of-its kind pan-india home & telehealth company,Unknown,Undisclosed,0.0,Seed,2018,technology
Hey Deedee,2017,Mumbai,delivery service logistics service industry,hey deedee is a mumbai-based company that provides solutions to parcel delivery problems.,Unknown,Undisclosed,33000000.0,Seed,2018,mobility and transportation
Digiconnectt Technologys,2017,Bangalore,information services information technology,a technology company focused on introducing products that will accelerate and enhance sales productivity and effectiveness .,Unknown,Undisclosed,125000.0,Seed,2018,technology
Locus.Sh,2017,Bangalore,big data data visualization logistics software,locus is an intelligent logistics automation platform.,Unknown,Undisclosed,4000000.0,Series A,2018,technology
Sports Flashes Pvt. Ltd,2017,New Delhi,basketball cricket cycling esports fitness golf health care hockey sports swimming table tennis volley ball,"sports flashes operates a sports content app that provides sports news, live scores, fantasy gaming, expert views, trivia, and more.",Unknown,Undisclosed,1000000.0,Seed,2018,technology
Inc42,2017,New Delhi,media and entertainment news publishing,inc42 is one of the leading tech media publications of india.,Unknown,Undisclosed,0.0,Seed,2018,technology
Picxy,2017,Guntur,internet,"a stock photo startup based in amravati, andhra pradesh.",Unknown,Undisclosed,130000.0,Seed,2018,technology
Huddle,2017,Haryana,consulting,a coworking incubator company.,Unknown,Undisclosed,300000.0,Seed,2018,business services
Benepik,2017,Gurgaon,human resources,hr technology start-up.,Unknown,Undisclosed,0.0,Seed,2018,human resources
Cash Suvidha,2017,New Delhi,finance,cash suvidha is an digital lending platform that provide working capital finance to smes and msmes in india.,Unknown,Undisclosed,1000000.0,Seed,2018,financial services
Smartcoin,2017,Bangalore,big data financial services machine learning predictive analytics,providing financial access to the millions of mobile users in india using alternative credit assessment,Unknown,Undisclosed,2000000.0,Seed,2018,technology
Carmel Organics,2017,Indore,agriculture agtech manufacturing,"carmel organics is an india-based herb company engaged in sourcing, processing, and distributing herbal tea ingredients.",Unknown,Undisclosed,0.0,Series A,2018,technology
Roadcast,2017,New Delhi,other,transforming the way businesses deliver. work-force & fleet mobility tools.,Unknown,Undisclosed,250000.0,Pre-Seed,2018,Other
Printline Media(Theprint),2017,New Delhi,digital media news publishing,a digital news platform.,Unknown,Undisclosed,34900000.0,Seed,2018,technology
Creditas Solutions,2017,Gurgaon,financial services,creditas was set-up in 2015 with an aim to help financial institutions find better ways to reach and interact with their customers.,Unknown,Undisclosed,0.0,Seed,2018,fintech
Urbanpiper,2017,Bangalore,software,urbanpiper offers restaurants and chains with a suite of products to manage and analyze their online presence.,Unknown,Undisclosed,0.0,Seed,2018,technology
Doxper,2017,Mumbai,health care hospital,doxper is health tech startup which has created a digital pen and coded paper system for doctors to record patient information,Unknown,Undisclosed,72000000.0,Seed,2018,technology
I2Ifunding,2017,Noida,crowdfunding finance financial services,i2ifunding is an online marketplace that connects borrowers looking for personal loans with investors looking for alternative investments.,Unknown,Undisclosed,50000000.0,Pre-Seed,2018,fintech
Shakedeal,2017,Bangalore,b2b ecommerce enterprise,home of b2b commerce,Unknown,Undisclosed,0.0,Seed,2018,e-commerce
Helloverify,2017,Noida,fraud detection information services security,helloverify is an online background check platform.,Unknown,Undisclosed,0.0,Seed,2018,technology
Fasal,2017,Bangalore,agriculture agtech artificial intelligence internet of things machine learning,climate smart precision agriculture platform,Unknown,Undisclosed,120000.0,Seed,2018,technology
Coingeto,2017,Delhi,cryptocurrency trading platform,coingeto is one of india’s most advanced digital assets exchange.,Unknown,Undisclosed,120000000.0,Seed,2018,technology
Avail Finance,2017,Bangalore,finance fintech mobile payments,avail is a mobile-first platform aiming to financially include the urban mass of india.,Unknown,Undisclosed,17200000.0,Series A,2018,technology
Tripeur,2017,Bangalore,information technology,radical travel automation - cloud based corporate travel & expense management software,Unknown,Undisclosed,600000.0,Seed,2018,technology
Wedeterna,2017,Bangalore,wedding,"wedeterna is a new-age, personalised and fresh approach to arranged marriages, diy matrimonial community with only self created profiles.",Unknown,Undisclosed,0.0,Pre-Seed,2018,events and entertainment
Stumagz,2017,Hyderabad,digital media,stumagz is about connecting with stories stumagz is about collaborating with people stumagz is about creating a cult.,Unknown,Undisclosed,0.0,Seed,2018,technology
Doubtnut,2017,Gurgaon,elearning edtech education image recognition machine learning stem education,gurgaon based e-learning platform.,Unknown,Undisclosed,35000000.0,Seed,2018,technology
Mcaffeine,2017,Mumbai,consumer goods,mcaffeine is india's first caffeine infuse personal care brand. it's an extension to the hyperactive lifestyle and individualistic identity.,Unknown,Undisclosed,32000000.0,Seed,2018,consumer goods and services
Trustcheckr,2017,Bangalore,information technology,a bengaluru-based fraud analytics solution provider .,Unknown,Undisclosed,100000.0,Pre-Seed,2018,technology
Healthassure,2017,Mumbai,fitness health care wellness,healthassure provides access to discounted & high quality primary care medical network.,Unknown,Undisclosed,1000000.0,Seed,2018,technology
Picture Time,2017,New Delhi,digital entertainment,operator of low-cost mobile cinema theatres in rural areas.,Unknown,Undisclosed,250000000.0,Seed,2018,technology
1Crowd,2017,Mumbai,crowdsourcing financial services funding platform venture capital,equity crowd funding platform focused on connecting investors with a host of extremely promising indian start-ups and early stage ventures,Unknown,Undisclosed,3500000.0,Pre-Seed,2018,technology
Aarav Unmanned Systems,2017,Bangalore,delivery drones geospatial robotics,professional drones for enterprise applications,Unknown,Undisclosed,0.0,Seed,2018,technology
Wellthy Therapeutics Pvt Ltd,2017,Mumbai,health care hospital,"wellthy is a digital therapeutics company focused on improving patient health through the intersection of technology, and clinical outcomes.",Unknown,Undisclosed,135000000.0,Seed,2018,technology
Nua,2017,Mumbai,consumer goods,nua is an e-commerce and feminine care brand platform focused on creating women care products.,Unknown,Undisclosed,0.0,Seed,2018,consumer goods and services
Kuvera.In,2017,Bangalore,financial services,an online platform for mutual fund investments.,Unknown,Undisclosed,250000.0,Pre-Seed,2018,fintech
Livehealth,2017,Pune,health care information technology management information systems,livehealth is an end-to-end collaborative report management solution. we help you get your medical reports instantly from various health,Unknown,Undisclosed,1100000.0,Seed,2018,technology
Gramophone,2017,Indore,farming,an agricultural inputs startup company.,Unknown,Undisclosed,1000000.0,Seed,2018,technology
Ora,2017,Kolkata,business travel hospitality hotel marketplace tourism travel accommodations,ora is an online marketplace of unique accommodations. awarded as among top 3000 startups in india by iim kolkata.,Unknown,Undisclosed,0.0,Seed,2018,technology
Buddy4Study.Com,2017,Noida,career planning education higher education service industry,buddy4study is the best scholarship search engine for indian students. it also helps organizations to set up their own scholarship schemes.,Unknown,Undisclosed,3000000.0,Series A,2018,technology
Predible Health,2017,Bangalore,medical device,healthcare devices for cancer detection,Unknown,Undisclosed,0.0,Seed,2018,healthcare
Syncremedies Healthcare Pvt Ltd,2017,Bangalore,alternative medicine health care,"syncremedies is an integrated medicine service that brings together allopathy, ayurveda and homeopathy to treat chronic ailments.",Unknown,Undisclosed,0.0,Seed,2018,technology
Blueleaf Cyberspace Systems,2017,Bangalore,internet software,bluleaf cyberspace is cloud based software company.,Unknown,Undisclosed,0.0,Seed,2018,technology
Toffee,2017,Gurgaon,other,"toffee is a bite size, micro-event & contextual insurtech startup which aims to de-jargonise the insurance buying experience.",Unknown,Undisclosed,1500000.0,Seed,2018,Other
Oro Wealth,2017,Mumbai,other,online wealth management platform,Unknown,Undisclosed,1600000.0,Series A,2018,Other
Healwell24,2017,Mumbai,dental elder care health care home health care personal health,"healwell24 is india's emerging technology-empowered healthcare company, aiming to bring world-class quality healthcare services anywhere.",Unknown,Undisclosed,200000.0,Seed,2018,technology
Acko General Insurance,2017,Mumbai,financial services insurance private social networking,acko general insurance is a digital insurance company in india that redefines insurance for the consumers.,Unknown,Undisclosed,12000000.0,Series A,2018,technology
Arzooo.Com,2017,Bangalore,consumer electronics ecommerce ecommerce platforms electronics shipping shopping,e-commerce website promising the best price on any product a consumer buys anywhere on the internet.,Unknown,Undisclosed,15000000.0,Seed,2018,e-commerce
Bonphul Air Products,2017,Delhi,cleantech,a clean tech product company,Unknown,Undisclosed,20000000.0,Pre-Seed,2018,technology
Dheeyantra Research Labs,2017,Bangalore,artificial intelligence,"dheeyantra is building a cognitive conversational chatbot platform by name ""dhee.ai"" for vernacular languages",Unknown,Undisclosed,0.0,Seed,2018,technology
Edyoo,2017,Bangalore,education,"edyoo.com is a technology platform that offers the most intuitive design, flexibility, and ease of use.",Unknown,Undisclosed,1000000.0,Seed,2018,education and training
Chtrbox,2017,Mumbai,advertising internet marketing,chtrbox connects social media influencers with brands .,Unknown,Undisclosed,10000000.0,Pre-Seed,2018,technology
Aashiyaan Housing And Development Finance,2017,Kolkata,financial services,provide housing finance to those in the informal sector enabling the hither to un-served to own a home of their own.,Unknown,Undisclosed,135000000.0,Seed,2018,fintech
Betterplace Safety Solutions Pvt. Ltd.,2017,Bangalore,human resources security training,"betterplace provides businesses with contractor workforce management, including onboarding, training, and background checks.",Unknown,Undisclosed,3000000.0,Series A,2018,technology
Cashkumar,2017,Bangalore,consumer lending finance fintech,a p2p lending platform connecting millions of financially under-served & new to credit borrowers with investment savvy lenders in india,Unknown,Undisclosed,50000000.0,Seed,2018,technology
Rocketium,2017,Bangalore,marketing social media video,easy video creation for social media.,Unknown,Undisclosed,20000000.0,Seed,2018,technology
Freightbazaar,2017,Hyderabad,transportation,freightbazaar.com is an online platform that connects truck suppliers with truck users.,Unknown,Undisclosed,0.0,Seed,2018,mobility and transportation
Open,2017,Bangalore,financial services,open up to a new world of banking,Unknown,Undisclosed,0.0,Seed,2018,fintech
Mfine,2017,Bangalore,health care hospital,hospital & health care start up,Unknown,Undisclosed,4200000.0,Series A,2018,technology
Earth Food,2017,Pune,food and beverage food processing,earth food is a healthy food start up.,Unknown,Undisclosed,64000000.0,Seed,2018,food and beverages
Charcoal Eats,2017,Mumbai,food processing,charcoal eats aims to bring dominos style standardisation.,Unknown,Undisclosed,50000000.0,Seed,2018,food and beverages
Wishfie,2017,Bangalore,apps,a platform for people to express their opinions in form of short videos around any topic.,Unknown,Undisclosed,0.0,Seed,2018,technology and innovation
The Social Hook,2017,Bangalore,brand marketing,fast growing influencer marketing platform in india.,Unknown,Undisclosed,0.0,Seed,2018,technology
Freightbro,2017,Mumbai,apps b2b freight service logistics saas shipping supply chain management transportation,software for the new-age freight,Unknown,Undisclosed,0.0,Seed,2018,technology
Finwego,2017,Chennai,other,finwego partners with small and medium businesses in india to offer convenient and responsible credit to their employees,Unknown,Undisclosed,0.0,Seed,2018,Other
Cricnwin,2017,Gurgaon,digital entertainment fantasy sports gaming sports,cricnwin is a gurugram - based fan engagement platform,Unknown,Undisclosed,0.0,Seed,2018,technology
Wicked Ride Adventure Services Private Limited,2017,Bangalore,automotive last mile transportation peer to peer ride sharing,peer-to-peer motor vehicles sharing,Unknown,Undisclosed,10000000.0,Venture,2018,technology
Career Anna,2017,Bangalore,commercial elearning education,india's go to career commerce portal,Unknown,Undisclosed,40000000.0,Seed,2018,technology
Eruditus Executive Education,2017,Mumbai,continuing education edtech education skill assessment,"eruditus, promoted by alumni of insead and other top business schools, delivers high quality executive education programmes",Unknown,Undisclosed,40000000.0,Series C,2018,technology
Gaia Smart Cities,2017,Mumbai,smart cities telecommunications,gaia smart cities is an early leader in the rapidly-emerging internet of things (iot) marketplace.,Unknown,Undisclosed,0.0,Seed,2018,technology
Square Off,2017,Mumbai,internet of things robotics,delivering imagination,Unknown,Undisclosed,1100000.0,Seed,2018,technology
Urbanclap,2017,Delhi,apps home services information services information technology,urbanclap is india's leading managed marketplace for home services.,Unknown,Undisclosed,50000000.0,Series D,2018,technology
Hospals,2017,New Delhi,medical tourism,hospals is a medical tourism company.,Unknown,Undisclosed,1500000.0,Seed,2018,healthcare
Kogta Financial India Limited,2017,Jaipur,financial services,kogta financial (india) ltd is a retail-focused non banking financial company .,Unknown,Undisclosed,1540000000.0,Series B,2018,fintech
Perspectico,2017,New Delhi,career planning education internet,an education management startup.,Unknown,Undisclosed,0.0,Seed,2018,technology
The Souled Store,2017,Mumbai,fashion graphic design wearables,"the souled store bring to you awesome t-shirts, framed prints, badges, notebooks, coasters.",Unknown,Undisclosed,3000000.0,Venture,2018,technology
Hush - Speak Up. Make Work Better,2017,Bangalore,communities leisure mobile apps software,enabling diversity of opinions in organizations,Unknown,Undisclosed,45000000.0,Seed,2018,technology
Drivezy,2017,Bangalore,automotive rental sharing economy,drivezy is india's largest vehicle sharing platform which helps people turn their vehicles into earning members of their family.,Unknown,Undisclosed,100000000.0,Debt,2018,technology
Freyr Energy,2017,Hyderabad,energy environmental consulting renewable energy solar,"freyr energy is a company that provides full service solar provider based in hyderabad, india.",Unknown,Undisclosed,1500000.0,Series A,2018,technology
Niramai Health Analytix,2017,Bangalore,health care hospital,niramai has developed a novel breast cancer screening solution that uses thermalytix.,Unknown,Undisclosed,6000000.0,Seed,2018,technology
Cloudsek,2017,Bangalore,information technology saas security,cloudsek is an infosec risk assessment company which provides intelligence needed to tackle online threats.,Unknown,Undisclosed,140000000.0,Seed,2018,technology
Lendbox,2017,Delhi,crowdfunding financial services internet,lendbox is india's leading peer-to-peer lending online lending platform.,Unknown,Undisclosed,60000000.0,Seed,2018,technology
Verloop,2017,Bangalore,customer service information technology internet sales automation,verloop is an automated customer support and engagement platform.,Unknown,Undisclosed,3000000.0,Series A,2018,technology
Flickstree,2017,Mumbai,advertising artificial intelligence digital media ios location based services news video video on demand video streaming,"flickstree is a smart video content aggregator, powered by artificial intelligence.",Unknown,Undisclosed,0.0,Seed,2018,technology
Paymatrix,2017,Hyderabad,credit cards payments property insurance property management rental property,india's leading property rent management platform,Unknown,Undisclosed,100000.0,Seed,2018,technology
Idha Skin Clinic,2017,Bangalore,beauty cosmetics health care service industry,idha skin clinic jayanagar is dedicated to restore health and natural beauty to your skin.,Unknown,Undisclosed,5000000.0,Seed,2018,technology
Incred,2017,Mumbai,banking finance financial services,incred finance is a mumbai-based non-banking financial company,Unknown,Undisclosed,41900000.0,PE,2018,fintech
Vedantu,2017,Bangalore,edtech education mobile tutoring,vedantu provides personalized live online tutoring. vedantu aims to democratize teaching by creating a marketplace of teachers,Unknown,Undisclosed,11000000.0,Series B,2018,technology
Sportido,2017,Noida,social media sports,sportido is a sports discovery app that helps you find people and places to play 700+ sports around you.,Unknown,Undisclosed,0.0,Seed,2018,media and entertainment
Stelis Biopharma,2017,Bangalore,biopharma,stelis biopharma is a vertically integrated biopharmaceutical company,Unknown,Undisclosed,100000000.0,Series B,2018,technology
Magicpin,2017,Gurgaon,ecommerce ecommerce platforms retail,"magicpin is a platform where users and merchants in a locality discover, interact, and transact.",Unknown,Undisclosed,1410000000.0,Series C,2018,technology
Try & Buy,2017,New Delhi,ecommerce fashion shopping,try & buy,Unknown,Undisclosed,0.0,Seed,2018,e-commerce
Mech Mocha,2017,Bangalore,digital entertainment mobile pc games,mech mocha is a mobile gaming startup based in bangalore working towards ‘making india play’ .,Unknown,Undisclosed,3530000.0,Series B,2018,technology
Aye Finance,2017,Gurgaon,finance financial services small and medium businesses,aye finance provides financial services to micro and small businesses in northern india.,Unknown,Undisclosed,72000000.0,Debt,2018,fintech
Aldopay,2017,Chennai,mobile payments,mobile wallet focusing on hassle free checkout via finger print & otp.,Unknown,Undisclosed,200000.0,Seed,2018,technology
Detect Technologies,2017,Chennai,artificial intelligence energy oil and gas,completely automated remote control system.,Unknown,Undisclosed,3300000.0,Series A,2018,technology
Signzy,2017,Bangalore,computer fintech risk management software,signzy are creating 'building blocks for a digital trust system.,Unknown,Undisclosed,240000000.0,Series A,2018,technology
Cashrich,2017,Mumbai,apps financial services fintech,a mumbai-based fin-tech startup,Unknown,Undisclosed,1000000.0,Seed,2018,technology
Cloudnine Hospitals,2017,Bangalore,child care health care hospital medical womens,cloudnine is an indian chain of women and child care hospitals.,Unknown,Undisclosed,0.0,PE,2018,technology
Cropin Technologies,2017,Bangalore,agriculture mobile,"to discover, develop and deliver innovative solution in agtech space",Unknown,Undisclosed,580000000.0,Series B,2018,technology
Billdesk,2017,Ahmedabad,finance fintech payments property development rental,"billdesk, a property of indiaideas.com ltd. was conceived in early 2000 to solve the frustrations of most of us when it comes to paying",Unknown,Undisclosed,0.0,Venture,2018,technology
Yaantra,2017,Delhi,information services information technology mobile software,"yaantra, india’s leading mobile phone repair, refurbished & unboxed centre in india",Unknown,Undisclosed,2000000.0,Debt,2018,technology
Techbooze,2017,New Delhi,education,"techbooze[1] ""an open forum"" is an educational enterprise, headquartered in india working across the country.",Unknown,Undisclosed,100000.0,Seed,2018,education and training
Healthifyme,2017,Bangalore,apps fitness health care mhealth,healthifyme is an application that allows its users to achieve their fitness and weight loss goals from their computers and smartphones.,Unknown,Undisclosed,6000000.0,Series B,2018,technology
Hoi Foods,2017,Gurgaon,food and beverage food delivery,india's first hotel dedicated food brand which promises great in room dining experience in budget hotels,Unknown,Undisclosed,36000000.0,Seed,2018,food and beverages
Perpule,2017,Bangalore,apps payments retail,perpule is a self-checkout product for retail outlets to enhance the shopping experience of the customers.,Unknown,Undisclosed,340000000.0,Series A,2018,technology
Royal Sundaram General Insurance Co. Limited,2017,Kalpakkam,health insurance insurance life insurance,"royal sundaram provides comprehensive insurance plans and innovative insurance solutions to individuals, families and businesses.",Unknown,Undisclosed,210000000.0,Other,2018,financial services
Cleansecar,2017,Bangalore,automotive,cleansecar is a company provides washing and repair services.,Unknown,Undisclosed,35000000.0,Pre-Seed,2018,mobility and transportation
Driveu,2017,Bangalore,rental taxi service travel,driveu is a convenient and a quick way of getting on demand drivers for consumers and businesses,Unknown,Undisclosed,70000000.0,Venture,2018,consumer services
Spinny,2017,Gurgaon,ecommerce ecommerce platforms internet retail,used cars marketplace in india. ushering new era of transparency and convenience.,Unknown,Undisclosed,11000000.0,Series A,2018,technology
Asset Reconstruction Company (India) Ltd.,2017,Mumbai,financial services professional services,asset reconstruction company (india) ltd. operates as a asset reconstruction company.,Unknown,Undisclosed,0.0,Other,2018,fintech
Med365 Healthcare,2017,Jaipur,health diagnostics,"wellness, specialised testing, healthcare at home",Unknown,Undisclosed,50000000.0,Seed,2018,healthcare
Dunzo,2017,Bangalore,customer service messaging mobile apps personalization,dunzo is an app that connects you with the nearest available delivery partner to pickup or deliver items for you.,Unknown,Undisclosed,70000000.0,Debt,2018,technology
Mobile Premier League (Mpl),2017,Bangalore,gaming ios sports,mobile premier league(mpl) is a skill based e-sports platform where you can play your favourite mobile games and win real cash always.,Unknown,Undisclosed,5000000.0,Series A,2018,media and entertainment
Walmart India,2017,Gurgaon,e-commerce,"wal-mart india private limited is a wholly owned subsidiary of walmart stores inc.,",Unknown,Undisclosed,37680000.0,Venture,2018,e-commerce
Cred,2017,Bangalore,other,cred is a platform to celebrate and reward the most creditworthy people of india.,Unknown,Undisclosed,0.0,Seed,2018,Other
Meesho,2017,Bangalore,ecommerce ecommerce platforms internet mobile apps social media,"meesho is an online reseller network of housewives and smbs, who sell products within their network on social channels.",Unknown,Undisclosed,50000000.0,Series C,2018,technology
Bhaskarguru,2017,Bhopal,search engine,bhaskarguru.com is your local search engine,Unknown,Undisclosed,1000000.0,Seed,2018,technology
Gugu,2017,Coimbatore,battery electric vehicle energy renewable energy transportation,gugu designs & sells all electric connected two-wheeler's with network of open & free fast charging stations across india.,Unknown,Undisclosed,250000.0,Seed,2018,renewable energy
Farmtaaza,2017,Bangalore,agriculture farmers market farming,farm taaza provides expert advice to the farmers on improving the yield and improving the field operations of the farmer.,Unknown,Undisclosed,0.0,Series A,2018,technology
Vizzbee,2017,Bhopal,artificial intelligence drones navigation packaging services robotics,autonomous drone solutions for last mile delivery as well as search and rescue,Unknown,Undisclosed,20000.0,Pre-Seed,2018,technology
Bigphi Technologies Pvt. Ltd.,2017,Bangalore,fashion,bigphi technologies is the india's first technologically advanced apparel and wearable company.,Unknown,Undisclosed,900000.0,Pre-Seed,2018,design and creative industries
Mobycy,2017,Gurgaon,fitness greentech internet of things mobile apps ride sharing transportation,india's 1st dockless bicycle sharing app,Unknown,Undisclosed,0.0,Pre-Seed,2018,technology
Traveo Soft Pvt. Ltd.,2017,Bangalore,mobile software travel,ai based business travel & expense management,Unknown,Undisclosed,1200000.0,Other,2018,technology
Em Personal Care,2017,Worli,cosmetics,em personal care is a cosmetic products manufacturing company.,Unknown,Undisclosed,0.0,Seed,2018,beauty and wellness
Lucideus,2017,New Delhi,consulting cyber security network security,"lucideus is a cybersecurity company that offers its customers with consultancy, training, and solutions to counteract cyber-attacks.",Unknown,Undisclosed,5000000.0,Venture,2018,technology
Eupheus Learning,2017,Delhi,elearning edtech education,eupheus learning offers a seamless integrated learning solution for the k-12 market in india.,Unknown,Undisclosed,0.0,Seed,2018,technology
Gamingmonk,2017,New Delhi,esports gaming video games,"gamingmonk is an esports gaming company based out of new delhi, india.",Unknown,Undisclosed,40000000.0,Series A,2018,technology
Sukkhi Jewellery,2017,Mumbai,fashion jewelry,sukkhi jewellery is a contemporary fashion jewellery brand.,Unknown,Undisclosed,510000000.0,Venture,2018,design and creative industries
Indwealth,2017,Gurgaon,financial services,indwealth is an artificial intelligence (ai) powered wealth management company,Unknown,Undisclosed,2200000000.0,Seed,2018,fintech
Medikabazaar,2017,Mumbai,b2b medical device,india's largest medical and surgical supplies marketplace,Unknown,Undisclosed,5000000.0,Series A,2018,healthcare
Nira,2017,Bangalore,credit financial services fintech lending,"nira promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.",Unknown,Undisclosed,1000000.0,Seed,2018,technology
Duroflex Pvt. Ltd.,2017,Alleppey,consumer goods manufacturing,duroflex pvt. ltd. operates as a dominant mattress player.,Unknown,Undisclosed,22000000.0,PE,2018,technology
Clensta,2017,New Delhi,biotechnology health care wellness,a biotechnology start-up was incorporated to improve the national hygiene condition whilst addressing the aspect of water conservation.,Unknown,Undisclosed,0.0,Seed,2018,technology
Jetbrain Robotics,2017,Gurgaon,health care hospital medical robotics,"jetbrain robotics is hong kong / gurgaon based company, building advanced robotic transportation solutions for multi speciality hospitals.",Unknown,Undisclosed,70000.0,Seed,2018,technology
Medimetry,2017,Haryana,health wellness,"medimetry is an online platform where patients can consult specialists doctors online - from anywhere, at anytime.",Unknown,Undisclosed,0.0,Seed,2018,beauty and wellness
Healthkart,2017,Gurgaon,ecommerce fitness health care,"the one stop shop for health, fitness & beauty.",Unknown,Undisclosed,10000000.0,Venture,2018,technology
Indiabulls Ventures,2017,Mumbai,financial services venture capital,indiabulls ventures limited is one of india’s leading capital market companies providing securities and derivative broking services.,Unknown,Undisclosed,15392000000.0,Post-IPO,2018,technology
Vistara,2017,Haryana,aerospace,vistara is a joint venture of tata sons limited and singapore airlines limited (sia),Unknown,Undisclosed,20000000000.0,PE,2018,mobility and transportation
Cleartax,2017,New Delhi,accounting apps fintech,cleartax india helps individuals prepare and e-file their income tax return online.,Unknown,Undisclosed,4000000000.0,Series B,2018,technology
Shuttl,2017,Gurgaon,apps mobile transportation,"shuttl provides an app-based office shuttle service to make daily commute safe, reliable, affordable and dignified for everyone.",Unknown,Undisclosed,1000000.0,Debt,2018,technology
Guruq,2017,New Delhi,reading apps,a one of its kind digital integrated platform connecting tutors and students.,Unknown,Undisclosed,25000000.0,Seed,2018,technology and innovation
Azure Power,2017,New Delhi,energy renewable energy solar,"azure power produces and distributes solar power to commercial, government, and utility customers in india.",Unknown,Undisclosed,185000000.0,Post-IPO,2018,technology
Cube,2017,Mumbai,banking financial services fintech,cube is consumer banking focused fintech company.,Unknown,Undisclosed,140000000.0,Series A,2018,technology
Rahi Care,2017,Chandigarh,health care hospital,rahi care is a health care company.,Unknown,Undisclosed,0.0,Venture,2018,technology
